user_id,rank,item_id,title,predicted_rating,n_training_ratings
1,1,483,Casablanca (1942),4.579,178
1,2,408,"Close Shave, A (1995)",4.578,89
1,3,513,"Third Man, The (1949)",4.526,45
1,4,318,Schindler's List (1993),4.463,234
1,5,923,Raise the Red Lantern (1991),4.445,43
1,6,480,North by Northwest (1959),4.416,134
1,7,285,Secrets & Lies (1996),4.399,124
1,8,647,Ran (1985),4.366,50
1,9,199,"Bridge on the River Kwai, The (1957)",4.365,126
1,10,511,Lawrence of Arabia (1962),4.357,127
2,1,408,"Close Shave, A (1995)",4.61,89
2,2,483,Casablanca (1942),4.59,178
2,3,318,Schindler's List (1993),4.578,234
2,4,513,"Third Man, The (1949)",4.544,45
2,5,64,"Shawshank Redemption, The (1994)",4.513,201
2,6,223,Sling Blade (1996),4.468,100
2,7,357,One Flew Over the Cuckoo's Nest (1975),4.465,200
2,8,923,Raise the Red Lantern (1991),4.457,43
2,9,169,"Wrong Trousers, The (1993)",4.454,87
2,10,12,"Usual Suspects, The (1995)",4.447,202
3,1,408,"Close Shave, A (1995)",4.139,89
3,2,513,"Third Man, The (1949)",4.072,45
3,3,12,"Usual Suspects, The (1995)",4.001,202
3,4,50,Star Wars (1977),3.995,438
3,5,169,"Wrong Trousers, The (1993)",3.988,87
3,6,357,One Flew Over the Cuckoo's Nest (1975),3.985,200
3,7,483,Casablanca (1942),3.971,178
3,8,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),3.944,146
3,9,98,"Silence of the Lambs, The (1991)",3.942,290
3,10,114,Wallace & Gromit: The Best of Aardman Animation (1996),3.941,44
4,1,408,"Close Shave, A (1995)",5.0,89
4,2,318,Schindler's List (1993),5.0,234
4,3,12,"Usual Suspects, The (1995)",5.0,202
4,4,64,"Shawshank Redemption, The (1994)",5.0,201
4,5,513,"Third Man, The (1949)",5.0,45
4,6,480,North by Northwest (1959),5.0,134
4,7,169,"Wrong Trousers, The (1993)",5.0,87
4,8,488,Sunset Blvd. (1950),4.997,47
4,9,192,Raging Bull (1980),4.976,85
4,10,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.976,44
5,1,923,Raise the Red Lantern (1991),4.149,43
5,2,408,"Close Shave, A (1995)",4.145,89
5,3,513,"Third Man, The (1949)",4.11,45
5,4,64,"Shawshank Redemption, The (1994)",4.103,201
5,5,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.089,44
5,6,483,Casablanca (1942),4.005,178
5,7,480,North by Northwest (1959),3.996,134
5,8,484,"Maltese Falcon, The (1941)",3.974,98
5,9,302,L.A. Confidential (1997),3.966,205
5,10,318,Schindler's List (1993),3.965,234
6,1,483,Casablanca (1942),4.356,178
6,2,318,Schindler's List (1993),4.214,234
6,3,603,Rear Window (1954),4.196,155
6,4,178,12 Angry Men (1957),4.195,89
6,5,513,"Third Man, The (1949)",4.186,45
6,6,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.171,44
6,7,480,North by Northwest (1959),4.13,134
6,8,647,Ran (1985),4.095,50
6,9,657,"Manchurian Candidate, The (1962)",4.075,101
6,10,654,Chinatown (1974),4.044,113
7,1,408,"Close Shave, A (1995)",4.955,89
7,2,483,Casablanca (1942),4.948,178
7,3,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.764,44
7,4,169,"Wrong Trousers, The (1993)",4.741,87
7,5,357,One Flew Over the Cuckoo's Nest (1975),4.738,200
7,6,100,Fargo (1996),4.722,376
7,7,923,Raise the Red Lantern (1991),4.697,43
7,8,12,"Usual Suspects, The (1995)",4.679,202
7,9,302,L.A. Confidential (1997),4.671,205
7,10,603,Rear Window (1954),4.671,155
8,1,169,"Wrong Trousers, The (1993)",4.767,87
8,2,408,"Close Shave, A (1995)",4.708,89
8,3,64,"Shawshank Redemption, The (1994)",4.69,201
8,4,12,"Usual Suspects, The (1995)",4.664,202
8,5,318,Schindler's List (1993),4.616,234
8,6,923,Raise the Red Lantern (1991),4.569,43
8,7,427,To Kill a Mockingbird (1962),4.563,176
8,8,357,One Flew Over the Cuckoo's Nest (1975),4.562,200
8,9,480,North by Northwest (1959),4.555,134
8,10,483,Casablanca (1942),4.548,178
9,1,318,Schindler's List (1993),4.832,234
9,2,408,"Close Shave, A (1995)",4.816,89
9,3,64,"Shawshank Redemption, The (1994)",4.787,201
9,4,513,"Third Man, The (1949)",4.744,45
9,5,178,12 Angry Men (1957),4.728,89
9,6,169,"Wrong Trousers, The (1993)",4.703,87
9,7,357,One Flew Over the Cuckoo's Nest (1975),4.67,200
9,8,427,To Kill a Mockingbird (1962),4.669,176
9,9,923,Raise the Red Lantern (1991),4.662,43
9,10,603,Rear Window (1954),4.655,155
10,1,408,"Close Shave, A (1995)",4.815,89
10,2,64,"Shawshank Redemption, The (1994)",4.782,201
10,3,318,Schindler's List (1993),4.769,234
10,4,169,"Wrong Trousers, The (1993)",4.761,87
10,5,357,One Flew Over the Cuckoo's Nest (1975),4.73,200
10,6,427,To Kill a Mockingbird (1962),4.661,176
10,7,272,Good Will Hunting (1997),4.634,155
10,8,923,Raise the Red Lantern (1991),4.611,43
10,9,313,Titanic (1997),4.609,272
10,10,190,Henry V (1989),4.6,85
11,1,408,"Close Shave, A (1995)",4.437,89
11,2,483,Casablanca (1942),4.402,178
11,3,513,"Third Man, The (1949)",4.347,45
11,4,178,12 Angry Men (1957),4.328,89
11,5,64,"Shawshank Redemption, The (1994)",4.326,201
11,6,169,"Wrong Trousers, The (1993)",4.316,87
11,7,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.298,146
